제작사,차명,생산기간(부터),생산기간(까지),리콜개시일,리콜사유
아우디폭스바겐코리아(주)벤틀리,GOLF 1.4 TSIGOLF 1.6 TDI BMTGOLF A7 1.6 TDI BMT JETTA 1.6 TDI BMTPOLO 1.6 TDI,2012-10-30,2013-06-06,2013-12-06,변속기 오일에 생성되는 침전물로 인하여 변속기 내의 퓨즈가 단선되어 바퀴로 동력을 전달하지 못하여 안전운행에 지장
아우디폭스바겐코리아(주)벤틀리,"티구안 2.0TDI,티구안 2.0TSI",2008-04-12,2011-05-31,2013-12-06,"전조등 퓨즈가 단선되어 전조등, 방향지시등, 안개등 및 제동등이 점등되지 않아 안전운행에 지장"
아우디폭스바겐코리아(주)벤틀리,"S6 4.0,S7 4.0",2012-07-04,2013-08-02,2013-12-06,연료파이프 고정 부위에서 균열이 발생하여 연료가 누유되어 화재의 위험성이 있어 안전운행에 지장
크라이슬러코리아(주),300C,2011-04-11,2011-12-14,2013-05-21,에어백 전기배선 커넥터 접촉 불량으로 운전석과 조수석 사이드 에어백이 정상적으로 작동되지 않아 안전운행에 지장
크라이슬러코리아(주),짚컴페스,2009-11-02,2012-07-16,2013-07-10,차량이 전복되는 경우 ‘사이드 커튼 에어백’ 및 ‘시트벨트 프리텐셔너’ 가 작동하지 않아 안전운행에 지장
크라이슬러코리아(주),다코타,2009-07-01,2009-11-30,2013-08-16,차동장치 결함으로 엔진의 힘이 바퀴로 전달되지 않아 주행이 되지 않을 수 있어 안전운행 지장
크라이슬러코리아(주),짚컴페스,2011-10-18,2012-05-07,2013-08-16,연료탱크 내 연료호스 불량으로 연료가 엔진에 공급되지 않아 주행 중 시동이 꺼질 수 있어 안전운행 지장
크라이슬러코리아(주),"짚그랜드체로키,짚커맨더",2004-07-14,2008-09-11,2013-08-16,"4륜구동 승용자동차에서 동력분배장치의 전자제어 시스템결함으로, 정차상태에서 운전자가 의도하지 않게 동력분배장치의 위치가 중립으로 이동하여 차량이 움직일 수 있는 결함이 있어 안전운행 지장"
크라이슬러코리아(주),짚랭글러,2011-09-17,2013-02-05,2013-10-28,변속기오일쿨러 튜브가 조향기어 오일리턴튜브와 간섭이 발생하여 변속기 오일이 누유되어 변속 및 주행이 되지 않아 안전운행에 지장
크라이슬러코리아(주),다코타,2008-08-06,2011-05-24,2013-10-28,차동장치 결함으로 엔진의 힘이 바퀴로 전달되지 않아 주행이 되지 않을 수 있어 안전운행 지장
크라이슬러코리아(주),그랜드보이저,2004-10-19,2011-11-07,2013-11-21,좌석 규격이 안전기준에 부적합
스바루코리아(주),"레거시,아웃백",2012-02-15,2012-06-15,2013-07-15,스티어링 칼럼 샤프트 어셈블리 조립과정에서 고정이 불충분하여 이너샤프트와 아웃샤프트가 분리되어 핸들 조향이 정상적으로 되지 않을 수 있어 안전운행에 지장
(주)참존임포트,"가야르도 슈퍼레제라,가야드로 LP560-4,가야드로 LP560-4 SPYDER,뮤시엘라고 쿠페,뮤시엘라고 LP670-4",2007-10-01,2009-07-30,2013-11-01,카본 세라믹 브레이크 디스크의 부식 균열로 인하여 급속벨(휠허브 연결부)을 고정하고 있는 스테인레스 스틸 나사 손상으로 제동거리가 길어져 안전운행에 지장
