2012년 제작결함 현황,,,,
제작사,차명,생산기간,리콜개시일,리콜사유
한국토요타코리아㈜,토요타 RAV4 4WD토요타 RAV4 2WD,`09.2.27~`10.8.31,12.8.30,뒷바퀴 정렬 후 바퀴정렬장치(타이로드)가 덜 조여지는 경우 타이로드가 마모되어 분리될 수 있고 이 경우 운전자가 의도한 방향으로 운행이 되지 않아 안전운행에 지장
한국토요타코리아㈜,토요타 PRIUS,`03.5.30~`09.5.30,12.12.20,"조향장치의 스플라인의 구조가변경되는 경우 스티어링 기능이 상실될 가능성이 있고, 전기구동식 워터펌프의 코일선에 스크래치로 인한 부식이 발생하여 단선이 될 가능성이 있어 안전운행에 지장"
㈜재규어 랜드로버 코리아,레인지 로버,`10.2.25~`10.5.19,12.12.14,등속조인트 고무커버가 갈라져 그리스 누출로 인한 소음?진동이 발생하여 안전운행에 지장
㈜재규어 랜드로버 코리아,XF,`07.12.21~`08.8.27,12.12.14,"자동변속기의 기어 변환(P↔R, R↔N, N↔D 등)이 되지 않을 수 있어 안전운행에 지장"
㈜재규어 랜드로버 코리아,XF,`08.1.18~`09.9.7,12.12.14,후방등 LED 납땜 부위에 부식이 발생하여 점등이 되지 않을 가능성이 있어 안전운행에 지장
㈜재규어 랜드로버 코리아,S-type,`01.11.6~`07.8.2,12.12.14,전조등의 광축 수평조절장치 결함으로 수평조절이 되지 않아 안전운행에 지장
씨엑스씨㈜-트럭,이베코 5톤카고트럭,`06.10.10,12.11.30,전기식 캡 틸팅펌프 콘트롤 릴레이 결함으로 운전자가 의도하지 않게 작동되어 안전운행에 지장
(유)기흥모터스,FLHRFLHTCUFLHTPFLHRCFLHXFLHTFLHTKFLTRUFLTRXFLHXSEFLHTCUSEFLTRSEFLTRUSE,`08.6.6~`11.9.16,12.2.27,뒷바퀴 브레이크의 작동여부를 감지하는 스위치에서 브레이크 오일이 누유 되어 브레이크 등(stop lamp)이 점등되지 않거나 브레이크가 작동되지 않아 안전운행에 지장
(유)기흥모터스,DYNA MODELSOFTAIL MODEL,`10.7.7~`11.12.5,12.4.9,브레이크 라인의 내부 재질 불량으로 브레이크 호스가 갈라져 브레이크 오일이 누유되어 제동이 되지 않을 가능성이 발견되어 리콜실시
S&T모터스㈜,MIRAGECOMETST 7RT 125DRX 125SM,`05.8.1~`10.10.31,12.2.1,브레이크 패드의 라이닝과 철판이 분리되어 마찰력이 제대로 발생하지 않아 정상적인 제동이 되지 않아 안전운행에 지장
㈜한국모터트레이딩,V-MAX,`09.3.2~`10.6.4,12.3.12,엔진에 윤활오일을 공급하는 펌프불량으로 오일이 엔진에 공급되지 않아 주행 중 시동이 꺼질 수 있어 안전운행에 지장
㈜한국모터트레이딩,YZF-R125,`10.4.16~`10.9.13,12.3.12,사이드 스탠드 스위치 고정볼트??불량으로 볼트가 풀릴 경우 주행 중 시동이 꺼질 수 있어 안전운행에 지장
㈜캄피오니모토트레이딩,MONSTER696 ABSMONSTER796 ABSMONSTER1100 EVOHYPERMOTARD796,`11.6.23~`11.12.5,12.3.2,완벽히 건조되지 않은 원료로 제작된 연료호스의 내부에 미세한 균열이 발생하고 심한 경우 연료가 누유 되어 화재가 발생하여 안전운행에 지장
㈜캄피오니모토트레이딩,MONSTER1100EVOMONSTER796 ABSMONSTER1100 EVOHYPERMOTARD796,`10.7.19~`12.2.6,12.4.23,리어 휠 스포크에서 균열이 발생하여 주행 중 파손되어 전도되어 안전운행에 지장
㈜캄피오니모토트레이딩,MONSTER1100EVO ABSSTREETFIGHTER 848,`11.12.19~`12.3.19,12.5.31,후브레이크 패드의 마찰면이 분리되어 제동이 되지않아 안전운행에 지장
㈜캄피오니모토트레이딩,1199Panigale,`12.1.1~`12.7.20,12.9.3,"배기밸브 서포트가 녹거나 타서 화재발생 가능성, 스티어링 댐퍼가 풀려 운행 중 조향이 되지않을 가능성, 스윙암 연결이 되지않아 뒷바퀴가 빠질수 있는 가능성, 브레이크오일 누유로 제동이 되지 않을 가능성이 있어 안전운행에 지장"
㈜캄피오니모토트레이딩,1199Panigale,`12.8.1~`12.9.25,12.11.15,엔진과 연결된 스윙 암이 분리되어 주행 중 뒷 바퀴 부분이 탈거되는 현상으로 전도 될 가능성으로 안전운행에 지장
㈜캄피오니모토트레이딩,1199Panigale,`12.8.1~`12.9.25,12.11.15,앞 브레이크 리저브 탱크 고정볼트와 브레이크 액 연결튜브 간섭으로 브레이크액이 누유되는 경우 제동이 되지않아 안전운행에 지장
비엠더블유그룹코리아㈜ 이륜,S1000RR,`11.11.4~`12.4.2,12.6.8,엔진커넥팅로드 볼트 조임불량으로 소음이 발생하거나 엔진이 정지하여 안전운행에 지장
비엠더블유그룹코리아㈜ 이륜,K1200SK1200R,`07.1.7~`08.5.8,12.11.30,보조 브레이크액 탱크에 공기기포가 생겨 제동거리가 길어질 가능성이 있어 안전운행에 지장
㈜스즈키씨엠씨,GSX R1000,`09.9.15~`11.3.22,12.6.25,사이드 스탠드 스위치 고정볼트 불량으로 볼트가 풀릴 경우 주행 중 시동이 꺼질 수 있어 안전운행에 지장
모토스타코리아㈜,맥심,`11.6.24~`11.10.6,12.7.12,이륜자동차의 후 쇼바와 에어크리너커버가 간섭되어 에어크리너가 파손되어 안전운행에 지장
혼다코리아㈜-이륜,NC700X인테그라,`11.12.22~`12.7.19,12.10.8,드라이브 체인이 주행 중 파손(절단)되어 운행이 되지 않아 안전운행에 지장
화창상사㈜,크로스로드리미하드볼저지비젼크로스컨트리투어하이볼,`12.01.03~`12.08.16,12.10.22,"스로틀 케이블 고정불량으로 운전자가 의도하지 않게 스로틀이 열리거나 닫이지(가, 감속) 않을 가능성이 있어 안전운행에 지장"
